"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1287","Добавление ингредиента в заказ","tests","2026-08-20","passed","2026-08-20","","test_main_page","",""
"","3361","Вход в аккаунт","tests","2026-08-20","passed","2026-08-20","","test_login","",""
"","12459","После создания заказа его номер появляется в разделе «В работе»","tests","2026-08-20","passed","2026-08-20","","test_orders_feed","",""
"","2454","Переход в раздел «Конструктор»","tests","2026-08-20","passed","2026-08-20","","test_main_page","",""
"","3401","Закрытие окна с деталями ингредиента","tests","2026-08-20","passed","2026-08-20","","test_main_page","",""
"","1121","Счётчик ингредиента увеличивается после добавления в заказ","tests","2026-08-20","passed","2026-08-20","","test_main_page","",""
"","2836","Открытие деталей ингредиента","tests","2026-08-20","passed","2026-08-20","","test_main_page","",""
"","12649","Счётчик «Выполнено за сегодня» увеличивается после создания заказа","tests","2026-08-20","passed","2026-08-20","","test_orders_feed","",""
"","967","Счётчик ингредиента увеличивается после добавления в заказ","tests","2026-08-20","passed","2026-08-20","","test_main_page","",""
"","2986","Открытие деталей ингредиента","tests","2026-08-20","passed","2026-08-20","","test_main_page","",""
"","3818","Переход в раздел «Лента заказов»","tests","2026-08-20","passed","2026-08-20","","test_orders_feed","",""
"","3499","Закрытие окна с деталями ингредиента","tests","2026-08-20","passed","2026-08-20","","test_main_page","",""
"","3065","Переход в раздел «Конструктор»","tests","2026-08-20","passed","2026-08-20","","test_main_page","",""
"","12654","Счётчик «Выполнено за всё время» увеличивается после создания заказа","tests","2026-08-20","passed","2026-08-20","","test_orders_feed","",""
"","124298","После создания заказа его номер появляется в разделе «В работе»","tests","2026-08-20","broken","2026-08-20","","test_orders_feed","",""
"","3852","Переход в раздел «Лента заказов»","tests","2026-08-20","passed","2026-08-20","","test_orders_feed","",""
"","124041","Счётчик «Выполнено за всё время» увеличивается после создания заказа","tests","2026-08-20","broken","2026-08-20","","test_orders_feed","",""
"","3328","Вход в аккаунт","tests","2026-08-20","passed","2026-08-20","","test_login","",""
"","1227","Добавление ингредиента в заказ","tests","2026-08-20","passed","2026-08-20","","test_main_page","",""
"","123870","Счётчик «Выполнено за сегодня» увеличивается после создания заказа","tests","2026-08-20","broken","2026-08-20","","test_orders_feed","",""
